red,w,clase,fidelidad,diversidad
modelo_cond (w=1),1.0,0,0.949999988079071,20.924169540405273
modelo_cond (w=1),1.0,1,0.8299999833106995,15.411527633666992
modelo_cond (w=1),1.0,2,0.9100000262260437,21.325658798217773
modelo_cond (w=1),1.0,3,0.8799999952316284,19.9639835357666
modelo_cond (w=1),1.0,4,0.8700000047683716,19.595958709716797
modelo_cond (w=1),1.0,5,0.9300000071525574,20.590713500976562
modelo_cond (w=1),1.0,6,0.949999988079071,19.513654708862305
modelo_cond (w=1),1.0,7,0.9100000262260437,18.945711135864258
modelo_cond (w=1),1.0,8,0.8899999856948853,20.090848922729492
modelo_cond (w=1),1.0,9,0.9200000166893005,18.27481460571289
modelo_cond (w=1),1.0,promedio,0.9040000021457673,19.463704109191895
modelo_cfg (w=3),3.0,0,1.0,17.11033058166504
modelo_cfg (w=3),3.0,1,1.0,11.609972953796387
modelo_cfg (w=3),3.0,2,1.0,19.231395721435547
modelo_cfg (w=3),3.0,3,1.0,16.699787139892578
modelo_cfg (w=3),3.0,4,1.0,17.925809860229492
modelo_cfg (w=3),3.0,5,1.0,18.851940155029297
modelo_cfg (w=3),3.0,6,1.0,17.113122940063477
modelo_cfg (w=3),3.0,7,1.0,15.699529647827148
modelo_cfg (w=3),3.0,8,1.0,18.72023582458496
modelo_cfg (w=3),3.0,9,1.0,16.063432693481445
modelo_cfg (w=3),3.0,promedio,1.0,16.902555751800538
